hdi_rank,country,region,hdi,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
38,Chile,World,,32.2,49.95,65,22,22,47.8,15.8,0.158,0.842,76.1,76.9,0.761,0.769,50.7,74.6,25.79,84.36,0.395,0.5488,0.5757,0.6265,0.5828,0.3223,0.322
40,Slovakia,World,,17.9,25.51,39,6,10,20.2,18.7,0.187,0.813,99.2,99.5,0.992,0.995,51.4,68.3,36.66,85.01,0.5122,0.6112,0.6651,0.5985,0.6243,0.1795,0.179
41,Portugal,World,,9.1,34.2,17,10,10,9.9,34.8,0.348,0.652,50.8,52.2,0.508,0.522,53.6,64.2,41.53,72.08,0.527,0.6589,0.5019,0.589,0.5797,0.0909,0.091
43,Hungary,World,,25.2,27.68,49,17,17,18,10.1,0.101,0.899,95.6,97.9,0.956,0.979,46.4,62.5,29.65,83.7,0.4379,0.5904,0.6244,0.5445,0.5855,0.2522,0.252
44,Latvia,World,,19.1,35.47,41,18,18,13.6,18,0.18,0.82,99.3,98.8,0.993,0.988,54.4,67.7,35.96,84.78,0.505,0.6011,0.6614,0.6105,0.6238,0.1905,0.191
45,Argentina,World,,36.2,42.56,77,52,52,63.8,37.1,0.371,0.629,63.5,61.4,0.635,0.614,48.4,74.5,23.45,77.36,0.3599,0.5275,0.5534,0.6145,0.564,0.3618,0.362
45,Croatia,World,,14.1,30.9,31,8,10,9.5,15.2,0.152,0.848,92,96,0.92,0.96,46.4,58.7,38.33,80.91,0.5201,0.6622,0.6381,0.5255,0.6056,0.1411,0.141
50,Romania,World,,33.9,34.67,72,31,31,34.6,12,0.12,0.88,86.1,92.2,0.861,0.922,47.6,64.9,24.54,83.61,0.3794,0.5483,0.6111,0.5625,0.5733,0.3382,0.339
54,Uruguay,World,,28.4,39.61,55,15,15,56.1,19.2,0.192,0.808,55,51.6,0.55,0.516,55.4,76.3,26.97,78.98,0.4021,0.5545,0.4853,0.6585,0.5617,0.2841,0.284
56,Bulgaria,World,,22.3,34.93,45,11,11,37.7,20.4,0.204,0.796,93.1,95.5,0.931,0.955,48.6,60.1,32.04,80.62,0.4586,0.5776,0.6538,0.5435,0.5899,0.2227,0.223
60,Panama,World,,45.7,50.53,100,94,94,74.5,18.3,0.183,0.817,70.1,66.1,0.701,0.661,50.5,80.5,18.98,83.95,0.3096,0.5189,0.5465,0.655,0.5706,0.4574,0.457
66,Costa Rica,World,,30.8,48.44,63,25,25,56.5,33.3,0.333,0.667,54.5,53.8,0.545,0.538,46.8,76.6,25.6,77.13,0.3844,0.5421,0.5125,0.617,0.5555,0.308,0.308
66,Serbia,World,,18.5,36.18,40,17,17,19,34,0.34,0.66,82.3,91.6,0.823,0.916,43.4,60.1,34.31,77.6,0.4758,0.588,0.6533,0.5175,0.5836,0.1847,0.185
70,Georgia,World,,36.1,42.25,76,36,36,39.7,11.3,0.113,0.887,96.1,97.4,0.961,0.974,57.3,78.4,25.09,89.99,0.3924,0.5418,0.6295,0.6785,0.614,0.3609,0.361
71,Turkey,World,,32.8,42.58,69,16,16,27.6,14.9,0.149,0.851,43.5,64.8,0.435,0.648,30.4,71.4,22.67,80.94,0.3542,0.5752,0.4986,0.509,0.5265,0.3274,0.328
77,Mexico,World,,34.5,47.1,73,38,38,62.8,40.6,0.406,0.594,56.1,59,0.561,0.59,45.4,79.5,24.12,77.78,0.3682,0.5324,0.5346,0.6245,0.5623,0.3452,0.345
79,Brazil,World,,41.4,52.34,92,44,44,67,10.8,0.108,0.892,59.1,55.2,0.591,0.552,56.3,78.5,20.23,81.97,0.3246,0.5291,0.4772,0.674,0.5542,0.4143,0.414
87,Peru,World,,38.5,43.59,86,68,68,49.1,22.3,0.223,0.777,56.2,67,0.562,0.67,65.7,82.6,23.35,84.15,0.3656,0.5274,0.5378,0.7415,0.5947,0.3853,0.385
89,Ecuador,World,,39.1,45.61,88,64,64,75.9,41.6,0.416,0.584,48.2,49.4,0.482,0.494,49,79.7,21.51,75.37,0.3347,0.5227,0.4925,0.6435,0.5492,0.3905,0.391
90,China,World,,16.4,44.71,37,27,27,7.3,23.6,0.236,0.764,69.8,79.4,0.698,0.794,63.6,77.9,38.74,84.66,0.5316,0.6126,0.5924,0.7075,0.6356,0.1637,0.164
95,Colombia,World,,39.3,51.58,89,64,64,50.2,20.9,0.209,0.791,50.3,59.6,0.503,0.596,57.9,79.8,21.88,81.83,0.3453,0.5279,0.5054,0.6885,0.5685,0.3926,0.393
99,Dominican Republic,World,,47,49.43,107,92,92,97.9,19.1,0.191,0.809,57.2,55.5,0.572,0.555,52.3,78.7,17.93,80.79,0.2934,0.5167,0.5003,0.655,0.5532,0.4696,0.47
110,Paraguay,World,,46.4,50.84,104,132,132,57.4,16.8,0.168,0.832,46.2,47,0.462,0.47,58.1,84.6,18.05,80.88,0.2951,0.5182,0.452,0.7135,0.5508,0.4642,0.464
111,Egypt,Africa,medium,56.5,51.3,135,33,33,51.9,2.2,0.022,0.978,54.5,68.2,0.545,0.682,22.8,76.1,12.4,85.34,0.2166,0.5382,0.4631,0.4945,0.4977,0.5648,0.565
117,El Salvador,World,,38.4,42.04,85,54,54,65.2,32.1,0.321,0.679,39.4,44.8,0.394,0.448,49.1,79.2,21.03,75.88,0.3294,0.5266,0.4536,0.6415,0.5351,0.3845,0.384
119,South Africa,Africa,medium,39.4,65.43,90,138,138,45.5,41.2,0.412,0.588,73.7,76.2,0.737,0.762,46.2,60.2,21.66,73.86,0.335,0.52,0.6102,0.532,0.5527,0.3939,0.394
124,Nicaragua,World,,46.2,46.15,103,150,150,88.8,41.3,0.413,0.587,45.7,44.1,0.457,0.441,49.1,80.3,18.01,74.2,0.2899,0.5137,0.4716,0.647,0.5392,0.4624,0.462
125,Guatemala,World,,49.4,50.36,113,88,88,80.7,13.9,0.139,0.861,37.4,36.2,0.374,0.362,41.3,83.6,15.23,77.57,0.2546,0.5188,0.3931,0.6245,0.5031,0.4939,0.494
130,Honduras,World,,46.1,53.55,101,129,129,65,25.8,0.258,0.742,33.4,31.1,0.334,0.311,47.2,84.4,16.85,74.01,0.2745,0.5173,0.387,0.658,0.5088,0.4604,0.461
131,India,World,,53,50.3,125,174,174,24.5,12.2,0.122,0.878,35.3,61.4,0.353,0.614,26.8,79.1,13.91,83.43,0.2385,0.5242,0.4709,0.5295,0.5075,0.53,0.53
