hdi_rank,country,region,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
20,Luxembourg,World,0.075,28.08,13,10,10,5.9,28.3,0.283,0.717,100.6,99.4,1.006,0.994,52.2,66.1,0.4858,0.8233,0.6111,0.7058,0.6889,0.5915,0.6601,0.0743,0.075
21,France,World,0.102,29.99,19,8,10,8.9,25.7,0.257,0.743,79.7,85.5,0.797,0.855,50.7,60.1,0.4253,0.7824,0.551,0.6676,0.6248,0.554,0.6137,0.102,0.102
22,Belgium,World,0.073,26.23,12,7,10,8.2,42.4,0.424,0.576,80.1,84.7,0.801,0.847,48.2,59.3,0.4612,0.7454,0.5698,0.6746,0.6406,0.5375,0.6147,0.073,0.073
23,Finland,World,0.056,25.85,8,3,10,6.5,41.5,0.415,0.585,100,100,1,1,55,62.1,0.518,0.7802,0.6226,0.6961,0.7045,0.5855,0.6597,0.0563,0.056
24,Austria,World,0.078,27.5,14,4,10,7.1,30.3,0.303,0.697,98.7,99.2,0.987,0.992,54.7,66,0.4824,0.8187,0.6071,0.6876,0.6892,0.6035,0.6589,0.0786,0.078
25,Slovenia,World,0.053,24.66,6,9,10,3.8,27.7,0.277,0.723,96.5,98.3,0.965,0.983,52.2,63,0.5173,0.8098,0.6313,0.7565,0.68,0.576,0.6667,0.053,0.053
26,Italy,World,0.085,32.33,16,4,10,6,30.1,0.301,0.699,79.1,83.3,0.791,0.833,39.3,58.1,0.4278,0.7625,0.5481,0.7041,0.6255,0.487,0.5986,0.0844,0.085
27,Spain,World,0.081,34.05,15,5,10,8.4,38,0.38,0.62,70.9,76.7,0.709,0.767,52.3,64.8,0.4541,0.7645,0.5698,0.6725,0.6043,0.5855,0.6197,0.0805,0.081
28,Czech Republic,World,0.129,25.2,27,4,10,9.9,19.6,0.196,0.804,99.8,99.8,0.998,0.998,51.1,68.2,0.4157,0.8485,0.558,0.6589,0.669,0.5965,0.6407,0.129,0.129
29,Greece,World,0.119,33.83,23,3,10,7.5,19.7,0.197,0.803,63.7,71.7,0.637,0.717,43.9,60,0.3844,0.7693,0.5126,0.6826,0.5565,0.5195,0.5822,0.1195,0.119
30,Estonia,World,0.131,32.86,28,9,10,13.1,23.8,0.238,0.762,100,100,1,1,55.4,69.5,0.4211,0.8466,0.5624,0.6381,0.6804,0.6245,0.6472,0.131,0.131
33,Cyprus,World,0.116,31.85,21,7,10,5,12.5,0.125,0.875,77,82.7,0.77,0.827,57.5,70.2,0.4305,0.8421,0.5697,0.7236,0.5805,0.6385,0.6449,0.1165,0.116
33,Malta,World,0.217,27.77,44,9,10,16.6,12.9,0.129,0.871,72.7,81.2,0.727,0.812,38.8,66,0.3078,0.8218,0.4479,0.6227,0.5736,0.524,0.572,0.217,0.217
36,Poland,World,0.137,30.95,30,3,10,13.4,24.8,0.248,0.752,81.1,86.9,0.811,0.869,49.1,65.3,0.3918,0.8082,0.5278,0.6366,0.6284,0.572,0.6117,0.1371,0.137
37,Lithuania,World,0.121,34.92,25,10,10,11,23.4,0.234,0.766,91.1,95.6,0.911,0.956,53.9,65.5,0.4218,0.8245,0.5581,0.6508,0.6587,0.597,0.6349,0.121,0.121
38,Chile,World,0.322,49.95,65,22,22,47.8,15.8,0.158,0.842,76.1,76.9,0.761,0.769,50.7,74.6,0.2579,0.8436,0.395,0.5488,0.5757,0.6265,0.5828,0.3223,0.322
40,Slovakia,World,0.179,25.51,39,6,10,20.2,18.7,0.187,0.813,99.2,99.5,0.992,0.995,51.4,68.3,0.3666,0.8501,0.5122,0.6112,0.6651,0.5985,0.6243,0.1795,0.179
41,Portugal,World,0.091,34.2,17,10,10,9.9,34.8,0.348,0.652,50.8,52.2,0.508,0.522,53.6,64.2,0.4153,0.7208,0.527,0.6589,0.5019,0.589,0.5797,0.0909,0.091
43,Hungary,World,0.252,27.68,49,17,17,18,10.1,0.101,0.899,95.6,97.9,0.956,0.979,46.4,62.5,0.2965,0.837,0.4379,0.5904,0.6244,0.5445,0.5855,0.2522,0.252
44,Latvia,World,0.191,35.47,41,18,18,13.6,18,0.18,0.82,99.3,98.8,0.993,0.988,54.4,67.7,0.3596,0.8478,0.505,0.6011,0.6614,0.6105,0.6238,0.1905,0.191
45,Argentina,World,0.362,42.56,77,52,52,63.8,37.1,0.371,0.629,63.5,61.4,0.635,0.614,48.4,74.5,0.2345,0.7736,0.3599,0.5275,0.5534,0.6145,0.564,0.3618,0.362
45,Croatia,World,0.141,30.9,31,8,10,9.5,15.2,0.152,0.848,92,96,0.92,0.96,46.4,58.7,0.3833,0.8091,0.5201,0.6622,0.6381,0.5255,0.6056,0.1411,0.141
50,Romania,World,0.339,34.67,72,31,31,34.6,12,0.12,0.88,86.1,92.2,0.861,0.922,47.6,64.9,0.2454,0.8361,0.3794,0.5483,0.6111,0.5625,0.5733,0.3382,0.339
54,Uruguay,World,0.284,39.61,55,15,15,56.1,19.2,0.192,0.808,55,51.6,0.55,0.516,55.4,76.3,0.2697,0.7898,0.4021,0.5545,0.4853,0.6585,0.5617,0.2841,0.284
56,Bulgaria,World,0.223,34.93,45,11,11,37.7,20.4,0.204,0.796,93.1,95.5,0.931,0.955,48.6,60.1,0.3204,0.8062,0.4586,0.5776,0.6538,0.5435,0.5899,0.2227,0.223
60,Panama,World,0.457,50.53,100,94,94,74.5,18.3,0.183,0.817,70.1,66.1,0.701,0.661,50.5,80.5,0.1898,0.8395,0.3096,0.5189,0.5465,0.655,0.5706,0.4574,0.457
66,Costa Rica,World,0.308,48.44,63,25,25,56.5,33.3,0.333,0.667,54.5,53.8,0.545,0.538,46.8,76.6,0.256,0.7713,0.3844,0.5421,0.5125,0.617,0.5555,0.308,0.308
